Extract Run ID,Member ID,Subscriber ID,Member Date of Birth,Member Date of Death,Member Gender,Member First Name,Member Middle Initial,Member Last Name,Subscriber Flag,Member SSN,Subscriber SSN,Member Address 1,Member Address 2,Member City,Member State,Member Zip Code,Member County,Member Metropolitan Service Area,Member Latitude,Member Longitude,Member Phone Number,Member Email,Month Date,Business Book Code,Alternate Person Identifier
32,10001,10001,3/4/81,Null,F,Emily,,Johnson,Y,381-30-5189,381-30-5189,123 Maple Street,,Charlotte,NC,28202,Mecklenburg,"Charlotte-Concord-Gastonia, NC-SC MSA",35.2271° N,-80.8431° W,(919) 555-1234,johndoe123@email.com,8/31/24,Commercial,900001
32,10002,10002,6/11/58,Null,M,Michael,,Smith,Y,866-57-9007,866-57-9007,456 Oak Avenue,,Raleigh,NC,27601,Wake,"Raleigh-Cary, NC MSA",35.7796° N,-78.6382° W,(828) 555-5678,sarahsmith456@gmail.com,8/31/24,Commercial,923101
32,10003,10001,6/4/62,Null,F,Sarah,,Davis,Y,435-31-6131,435-31-6131,789 Pine Road,,Greensboro,NC,27401,Guilford,"Greensboro-High Point, NC MSA",36.0726° N,-79.7910° W,(704) 555-8765,emilyjones789@hotmail.com,8/31/24,Commercial,946201
32,10004,10003,7/28/59,Null,M,David,,Brown,Y,561-20-5661,561-20-5661,101 Birch Lane,,Durham,NC,27701,Durham,"Durham-Chapel Hill, NC MSA",35.9940° N,-78.8986° W,(336) 555-4321,davidbrown321@yahoo.com,8/31/24,Commercial,969301
32,10005,10001,1/30/65,Null,F,Jessica,,Wilson,Y,721-22-9733,721-22-9733,202 Cedar Boulevard,,Winston-Salem,NC,27101,Forsyth,"Winston-Salem, NC MSA",36.0999° N,-80.2442° W,(910) 555-3456,amandawilson654@outlook.com,8/31/24,Commercial,992401
32,10006,10004,7/26/76,Null,M,Daniel,,Miller,Y,731-29-3064,731-29-3064,303 Elm Drive,,Fayetteville,NC,28301,Cumberland,"Fayetteville, NC MSA",35.0527° N,-78.8784° W,(980) 555-7890,mikeroberts987@aol.com,8/31/24,Commercial,1015501
32,10007,10001,10/17/59,Null,F,Emma,,Taylor,Y,366-53-7181,366-53-7181,404 Walnut Court,,Cary,NC,27511,Wake,"Raleigh-Cary, NC MSA",35.7915° N,-78.7811° W,(252) 555-2345,lisajackson234@email.com,8/31/24,Commercial,1038601
32,10008,10005,6/28/64,Null,M,James,,Anderson,Y,744-76-4923,744-76-4923,505 Cherry Street,,Wilmington,NC,28401,New Hanover,"Wilmington, NC MSA",34.2257° N,-77.9447° W,(984) 555-6789,chrisjohnson876@gmail.com,8/31/24,Commercial,1061701
32,10009,10001,1/24/65,Null,F,Olivia,,Martinez,Y,734-81-7583,734-81-7583,606 Poplar Avenue,,High Point,NC,27260,Guilford (also,"Greensboro-High Point, NC MSA",35.9557° N,-80.0053° W,(919) 555-9876,rachelwhite567@hotmail.com,8/31/24,Commercial,1084801
32,10010,10006,3/7/76,Null,M,Christopher,,Thomas,Y,210-91-6440,210-91-6440,707 Ash Road,,Asheville,NC,28801,Buncombe,"Asheville, NC MSA",35.5951° N,-82.5515° W,(828) 555-3456,matthewdavis210@yahoo.com,8/31/24,Commercial,1107901
32,10011,10001,1/19/63,Null,F,Isabella,,Moore,Y,778-82-5173,778-82-5173,808 Magnolia Street,,Concord,NC,28025,Cabarrus,"Charlotte-Concord-Gastonia, NC-SC MSA",35.4088° N,-80.5795° W,(704) 555-5432,jessicamiller789@outlook.com,8/31/24,Commercial,1131001
32,10012,10007,1/6/72,Null,M,Benjamin,,Lee,Y,806-92-1125,806-92-1125,909 Cypress Lane,,Greenville,NC,27834,Pitt,"Greenville, NC MSA",35.6127° N,-77.3664° W,(336) 555-6789,brianthomas123@aol.com,8/31/24,Commercial,1154101
32,10013,10001,12/11/79,Null,F,Sophia,,Jackson,Y,348-50-8141,348-50-8141,1010 Willow Drive,,Jacksonville,NC,28540,Onslow,"Jacksonville, NC MSA",34.7541° N,-77.4302° W,(910) 555-1234,samanthawilson456@email.com,8/31/24,IPP,1177201
32,10014,10008,7/9/63,Null,M,Matthew,,Harris,Y,519-63-3930,519-63-3930,1111 Sycamore Street,,Chapel Hill,NC,27514,Orange,"Durham-Chapel Hill, NC MSA",35.9132° N,-79.0558° W,(980) 555-4321,kevinmartinez789@gmail.com,8/31/24,IPP,1200301
32,10015,10001,7/30/78,Null,F,Ava,,Clark,Y,874-75-7139,874-75-7139,1212 Redwood Road,,Rocky Mount,NC,27801,Nash (also pa,"Rocky Mount, NC MSA",35.9382° N,-77.7905° W,(252) 555-8765,ashleyrodriguez234@hotmail.com,8/31/24,IPP,1223401
32,10016,10009,10/22/73,Null,M,Alexander,,Lewis,Y,333-37-3867,333-37-3867,1313 Spruce Avenue,,Burlington,NC,27215,Alamance,"Burlington, NC MSA",36.0957° N,-79.4378° W,(984) 555-3456,michellelee567@yahoo.com,8/31/24,IPP,1246501
32,10017,10001,5/27/76,Null,F,Mia,,Robinson,Y,899-18-5581,899-18-5581,1414 Dogwood Lane,,Wilson,NC,27893,Wilson,"Wilson, NC MSA",35.7213° N,-77.9155° W,(919) 555-6789,patrickbrown210@outlook.com,8/31/24,FEP,1269601
32,10018,10010,9/20/55,Null,M,William,,Walker,Y,109-20-1461,109-20-1461,1515 Fir Street,,Huntersville,NC,28078,Mecklenburg,"Charlotte-Concord-Gastonia, NC-SC MSA",35.4107° N,-80.8421° W,(828) 555-9876,laurasmith987@aol.com,8/31/24,FEP,1292701
32,10019,10001,9/16/62,Null,F,Abigail,,Hall,Y,478-64-7289,478-64-7289,1616 Hickory Boulevard,,Kannapolis,NC,28081,Cabarrus (also,"Charlotte-Concord-Gastonia, NC-SC MSA",35.4874° N,-80.6218° W,(704) 555-2345,ryansanchez123@email.com,8/31/24,FEP,1315801
32,10020,10011,11/6/80,Null,M,Samuel,,Young,Y,840-27-6296,840-27-6296,1717 Beech Avenue,,Apex,NC,27502,Wake,"Raleigh-Cary, NC MSA",35.7327° N,-78.8503° W,(336) 555-7890,danielrodriguez456@gmail.com,8/31/24,FEP,1338901
32,10021,10001,10/17/70,Null,F,Chloe,,King,Y,767-74-6383,767-74-6383,1818 Maplewood Drive,,Hickory,NC,28601,Catawba (also par,"Hickory-Lenoir-Morganton, NC MSA",35.7332° N,-81.3443° W,(910) 555-5432,tiffanyhernandez789@hotmail.com,8/31/24,FEP,1362001
32,10022,10012,12/6/57,Null,M,Ethan,,Wright,Y,732-89-4643,732-89-4643,1919 Aspen Court,,Goldsboro,NC,27530,Wayne,"Goldsboro, NC MSA",35.3849° N,-77.9928° W,(980) 555-8765,jacobmartin210@yahoo.com,8/31/24,MA,1385101
32,10023,10001,12/23/77,Null,F,Lily,,Scott,Y,230-28-3270,230-28-3270,2020 Sequoia Street,,Indian Trail,NC,28079,Union,"Charlotte-Concord-Gastonia, NC-SC MSA",35.0768° N,-80.6698° W,(252) 555-3456,victoriajohnson234@outlook.com,8/31/24,MA,1408201
32,10024,10013,4/7/73,Null,F,Noah,,Green,Y,667-36-9672,667-36-9672,2121 Pinehurst Road,,Mooresville,NC,28115,Iredell,"Charlotte-Concord-Gastonia, NC-SC MSA",35.5849° N,-80.8101° W,(984) 555-1234,ericadavis567@aol.com,8/31/24,MA,1431301
32,10025,10001,5/21/57,Null,F,Grace,,Adams,Y,858-46-2316,858-46-2316,2222 Arbor Lane,,Holly Springs,NC,27540,Wake,"Raleigh-Cary, NC MSA",35.6513° N,-78.8336° W,(919) 555-4321,christopherlopez789@email.com,8/31/24,MA,1454401
